time,lat,long,throttle
77.55,44.49199645,-79.18111786,97.5
77.6,44.49199665,-79.18110736,97.5
77.65,44.49199684,-79.18109669,97.5
77.7,44.491997,-79.18108591,97.5
77.75,44.49199711,-79.18107504,97.5
77.8,44.49199728,-79.18106404,97.5
77.85,44.4919975,-79.18105294,97.5433
77.9,44.49199799,-79.18104172,97.5989
77.95,44.49199874,-79.18103041,97.5456
78,44.49199964,-79.18101904,97.5
78.05,44.4920007,-79.18100763,97.5
78.1,44.4920021,-79.18099632,97.5
78.15,44.49200382,-79.18098512,97.5
78.2,44.49200596,-79.18097398,97.5
78.25,44.4920085,-79.18096291,97.5
78.3,44.49201141,-79.18095213,97.5
78.35,44.49201467,-79.18094163,97.5
78.4,44.49201816,-79.18093121,97.5
78.45,44.49202185,-79.18092087,97.5
78.5,44.49202577,-79.18091058,97.5
78.55,44.49202989,-79.18090034,97.5
78.6,44.49203431,-79.18089041,97.5
78.65,44.49203901,-79.18088079,97.5
78.7,44.49204401,-79.18087128,97.5
78.75,44.49204931,-79.1808619,97.5
78.8,44.49205487,-79.18085284,97.5
78.85,44.49206068,-79.18084409,97.5
78.9,44.49206677,-79.18083561,97.5
78.95,44.49207315,-79.18082739,97.5
79,44.4920797,-79.18081937,97.5
79.05,44.49208643,-79.18081154,97.5
79.1,44.49209334,-79.18080399,97.5
79.15,44.49210041,-79.1807967,97.5
79.2,44.49210756,-79.18078948,97.5
79.25,44.49211481,-79.18078231,97.5
79.3,44.49212219,-79.18077526,97.5
79.35,44.49212971,-79.18076831,97.5
79.4,44.49213732,-79.18076147,97.5
79.45,44.49214503,-79.18075474,97.5
79.5,44.49215278,-79.18074803,97.5
79.55,44.49216058,-79.18074134,97.5
79.6,44.49216847,-79.18073467,97.5
79.65,44.49217643,-79.18072801,97.5
79.7,44.49218441,-79.18072132,97.5
79.75,44.4921924,-79.1807146,97.5322
79.8,44.49220045,-79.18070786,97.5878
79.85,44.49220857,-79.18070113,97.6
79.9,44.49221676,-79.1806944,97.6
79.95,44.49222501,-79.18068769,97.6
80,44.49223333,-79.18068104,97.6
80.05,44.49224171,-79.18067443,97.6
80.1,44.49225019,-79.18066794,92.5333
80.15,44.49225876,-79.18066156,79.2
80.2,44.4922674,-79.18065522,61.8067
80.25,44.49227611,-79.18064895,41.4733
80.3,44.49228478,-79.18064293,36.74
80.35,44.4922934,-79.18063716,36.4067
80.4,44.49230194,-79.18063171,36.5089
80.45,44.49231041,-79.18062655,36.6
80.5,44.49231886,-79.18062167,36.6
80.55,44.49232731,-79.18061703,36.41
80.6,44.49233573,-79.18061266,35.91
80.65,44.49234413,-79.18060854,32.7033
80.7,44.49235246,-79.18060473,27.5367
80.75,44.49236073,-79.18060121,26.7467
80.8,44.49236897,-79.18059802,27.1911
80.85,44.4923772,-79.18059515,27.3089
80.9,44.49238528,-79.18059262,27.4
80.95,44.49239323,-79.18059041,27.4
81,44.49240115,-79.18058852,27.5689
81.05,44.49240905,-79.18058691,28.0133
81.1,44.49241688,-79.18058578,29.1667
81.15,44.49242465,-79.18058509,30.8333
81.2,44.49243238,-79.18058488,31.72
81.25,44.49244007,-79.1805851,32.3867
81.3,44.49244772,-79.1805857,32.2367
81.35,44.49245532,-79.18058664,32.12
81.4,44.49246275,-79.18058804,32.2311
81.45,44.49247002,-79.18058988,32.8911
81.5,44.49247715,-79.18059221,34.4467
81.55,44.49248416,-79.18059499,35.7444
81.6,44.49249107,-79.18059822,36.8556
81.65,44.49249791,-79.18060187,39.05
