time,lat,long,throttle
49.7,44.49317594,-79.18235808,87.5578
49.75,44.49317116,-79.18236873,93.28
49.8,44.49316616,-79.18237933,97.4467
49.85,44.49316098,-79.18238989,97.6133
49.9,44.4931556,-79.18240033,97.6733
49.95,44.49315004,-79.18241065,97.6178
50.0,44.49314425,-79.18242077,97.6
50.05,44.49313823,-79.18243072,97.6
50.1,44.49313205,-79.18244062,97.6
50.15,44.49312571,-79.18245048,97.6
50.2,44.49311915,-79.18246019,97.6
50.25,44.4931124,-79.18246975,97.6
50.3,44.49310543,-79.18247908,97.6
50.35,44.49309828,-79.18248821,97.6
50.4,44.49309097,-79.18249715,97.6
50.45,44.49308349,-79.18250591,97.6
50.5,44.49307586,-79.18251457,97.6
50.55,44.49306808,-79.18252313,97.6
50.6,44.49306017,-79.18253158,97.6
50.65,44.49305214,-79.1825399,97.6
50.7,44.49304397,-79.18254804,97.5844
50.75,44.49303568,-79.182556,97.5289
50.8,44.49302724,-79.18256371,97.5
50.85,44.49301864,-79.18257119,97.5
50.9,44.49300989,-79.18257841,97.5378
50.95,44.493001,-79.18258537,97.5933
51.0,44.49299192,-79.18259205,97.5511
51.05,44.49298268,-79.18259845,97.5
51.1,44.49297332,-79.18260467,97.5
51.15,44.49296385,-79.1826107,97.5
51.2,44.49295434,-79.18261653,97.5
51.25,44.4929448,-79.18262215,97.5
51.3,44.4929351,-79.18262751,97.5
51.35,44.49292526,-79.1826326,97.5378
51.4,44.49291534,-79.18263752,97.5933
51.45,44.49290536,-79.18264226,97.6
51.5,44.4928953,-79.18264694,97.5956
51.55,44.49288514,-79.18265153,97.54
51.6,44.49287495,-79.18265603,97.5
51.65,44.49286471,-79.18266043,97.5
51.7,44.49285439,-79.18266465,97.5
51.75,44.492844,-79.18266869,97.5
51.8,44.49283352,-79.18267248,97.5
51.85,44.49282298,-79.18267604,97.5
51.9,44.49281242,-79.18267935,97.5489
51.95,44.49280183,-79.18268243,97.5956
52.0,44.49279118,-79.18268531,97.54
52.05,44.49278046,-79.18268801,97.5156
52.1,44.49276964,-79.18269053,97.5711
52.15,44.49275872,-79.18269288,97.6
52.2,44.49274776,-79.18269508,97.6
52.25,44.49273676,-79.18269714,97.6
52.3,44.49272574,-79.1826991,97.6
52.35,44.49271472,-79.18270095,97.6
52.4,44.49270361,-79.1827027,97.6
52.45,44.49269244,-79.18270436,97.6
52.5,44.49268127,-79.18270585,94.3956
52.55,44.4926701,-79.1827072,82.9511
52.6,44.49265889,-79.18270845,65.0533
52.65,44.49264764,-79.18270963,40.1644
52.7,44.49263656,-79.18271064,32.7667
52.75,44.49262563,-79.1827115,33.6
52.8,44.49261492,-79.18271217,34.8244
52.85,44.4926044,-79.18271267,35.8622
52.9,44.49259404,-79.18271303,34.14
52.95,44.49258382,-79.18271325,32.8689
53.0,44.49257376,-79.18271329,32.7578
53.05,44.49256382,-79.18271315,32.3533
53.1,44.49255408,-79.18271268,31.6311
53.15,44.4925445,-79.18271188,31.6267
